StockCode,Description,Avg_Price,Min_Price,Max_Price,Total_Quantity,Total_Revenue,Transaction_Count,Competitor_A_Price,Competitor_B_Price,Competitor_C_Price,Market_Avg_Price,Price_vs_Market_Pct,Pricing_Flag
82494L,WOODEN FRAME ANTIQUE WHITE ,3.131914163090129,0.0,7.78,8381,24741.210000000003,1136,2.83,3.37,3.45,3.22,-2.7, Competitive — Monitor
21731,RED TOADSTOOL LED NIGHT LIGHT,2.0403846153846152,0.0,4.21,15046,24430.109999999997,733,1.77,2.13,2.26,2.05,-0.5, Competitive — Monitor
84078A,SET/4 WHITE RETRO STORAGE CUBES ,45.4575,0.0,78.22,580,23618.81,188,43.05,48.86,51.37,47.76,-4.8, Competitive — Monitor
21524,SPOTTY  HOME SWEET HOME DOORMAT,8.00074179743224,0.0,16.98,3586,23047.43,693,7.42,7.92,8.4,7.91,1.1, Competitive — Monitor
48187,DOOR MAT NEW ENGLAND,7.762187938288921,0.0,16.98,3567,22911.71,708,7.33,7.49,8.43,7.75,0.2, Competitive — Monitor
21755,LOVE BUILDING BLOCK WORD,6.661427320490368,5.45,12.13,3695,22801.530000000002,1103,6.26,6.98,7.2,6.81,-2.2, Competitive — Monitor
20727,LUNCH BAG  BLACK SKULL.,1.9222731128074637,1.19,5.06,13803,22424.53,1138,1.75,1.87,2.09,1.9,1.2, Competitive — Monitor
71477,short,3.498664383561644,0.0,6.91,7017,22157.72,568,3.3,3.39,4.1,3.6,-2.8, Competitive — Monitor
48185,DOOR MAT FAIRY CAKE,8.622253086419754,0.0,16.98,3229,22091.75,640,7.41,8.25,9.42,8.36,3.1, Competitive — Monitor
22383,LUNCHBAG SUKI  DESIGN ,1.9764093959731543,1.45,5.06,12869,21328.12,1160,1.72,1.86,2.13,1.9,4.0, Competitive — Monitor
22328,"ROUND SNACK BOXES ,SET 4, FRUITS ",3.1040506329113926,0.0,6.95,7704,21251.04,612,2.65,2.98,3.49,3.04,2.1, Competitive — Monitor
21485,RED SPOT HEART HOT WATER BOTTLE,5.348014184397163,4.25,11.26,4375,21038.22,822,4.72,5.22,6.31,5.42,-1.3, Competitive — Monitor
22188,BLACK HEART CARD HOLDER,4.488220551378447,0.0,8.65,7674,20698.03,398,3.99,4.61,4.88,4.49,-0.0, Competitive — Monitor
21527,RETRO SPOT TRADITIONAL TEAPOT ,8.786646415552855,0.0,17.35,2657,20691.9,805,7.71,8.17,9.33,8.4,4.6, Competitive — Monitor
82486,WOOD S/3 CABINET ANT WHITE FINISH,8.175904887714664,6.95,16.48,2713,20638.08,731,7.63,7.8,9.02,8.15,0.3, Competitive — Monitor
20679,EDWARDIAN PARASOL RED,6.364343675417662,0.0,13.0,4090,20592.350000000002,417,5.64,6.68,7.4,6.57,-3.1, Competitive — Monitor
22326,"ROUND SNACK BOXES ,SET4, WOODLAND ",3.370869565217392,0.0,6.95,7113,20557.91,696,2.96,3.18,3.82,3.32,1.5, Competitive — Monitor
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,3.94024060150376,0.0,7.78,5154,20474.03,643,3.56,3.84,4.62,4.01,-1.7, Competitive — Monitor
22457,NATURAL SLATE HEART CHALKBOARD ,3.405504587155964,0.0,6.95,6526,20350.890000000003,859,2.94,3.6,4.07,3.54,-3.8, Competitive — Monitor
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,6.6159515570934255,3.0,13.0,4271,20048.780000000002,577,6.15,6.25,7.73,6.71,-1.4, Competitive — Monitor
22379,RECYCLING BAG RETROSPOT ,2.648055235903337,1.66,5.06,9162,19765.670000000002,850,2.27,2.47,3.02,2.59,2.2, Competitive — Monitor
20728,LUNCH BAG CARS BLUE,1.8595344129554654,0.0,5.06,12001,19683.61,965,1.76,1.85,2.09,1.9,-2.1, Competitive — Monitor
72741,GRAND CHOCOLATECANDLE,1.790299401197605,0.0,8.65,13764,19637.079999999998,662,1.66,1.73,1.89,1.76,1.7, Competitive — Monitor
22178,VICTORIAN GLASS HANGING T-LIGHT,1.4715197215777263,0.9,2.57,15884,19515.48,822,1.28,1.49,1.76,1.51,-2.5, Competitive — Monitor
20726,LUNCH BAG WOODLAND,2.0259251769464104,0.0,5.06,11477,19263.3,962,1.72,2.12,2.24,2.03,-0.2, Competitive — Monitor
82482,WOODEN PICTURE FRAME WHITE FINISH,2.7015400202634248,0.0,5.17,7912,18946.72,960,2.52,2.54,2.9,2.65,1.9, Competitive — Monitor
22469,HEART OF WICKER SMALL,1.8719797421731121,0.0,4.21,10805,18801.809999999998,1042,1.72,1.9,2.15,1.92,-2.5, Competitive — Monitor
48111,DOOR MAT 3 SMILEY CATS,8.399187620889748,0.0,14.43,3122,18724.98,512,7.75,8.41,9.18,8.45,-0.6, Competitive — Monitor
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,3.915820029027576,2.29,7.78,5099,18685.760000000002,673,3.63,3.69,4.46,3.93,-0.4, Competitive — Monitor
21217,RED SPOTTY ROUND CAKE TINS,11.170451010886469,0.0,21.7,1783,18525.84,636,9.58,11.39,12.71,11.23,-0.5, Competitive — Monitor
20713,JUMBO BAG OWLS,2.380399429386591,0.0,5.06,9582,18341.579999999998,691,2.11,2.29,2.66,2.35,1.3, Competitive — Monitor
22158,3 HEARTS HANGING DECORATION RUSTIC,3.0931327800829878,0.0,6.95,5882,18335.0,460,2.67,3.09,3.64,3.13,-1.2, Competitive — Monitor
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3.898137404580153,2.29,7.78,4995,18194.25,637,3.65,3.64,4.25,3.85,1.3, Competitive — Monitor
84991,60 TEATIME FAIRY CAKE CASES,0.6495000000000001,0.4,2.13,36326,18128.25,1342,0.59,0.65,0.73,0.66,-1.6, Competitive — Monitor
21622,VINTAGE UNION JACK CUSHION COVER,5.795469314079423,0.85,13.87,3333,18023.6,539,5.12,5.62,6.55,5.76,0.6, Competitive — Monitor
22138,BAKING SET 9 PIECE RETROSPOT ,5.284440677966102,0.0,11.26,1522,17964.79,1168,4.53,5.56,6.07,5.39,-2.0, Competitive — Monitor
22622,BOX OF VINTAGE ALPHABET BLOCKS,10.796420118343194,8.5,24.95,1852,17824.63,333,9.51,10.03,12.61,10.72,0.7, Competitive — Monitor
21915,RED  HARMONICA IN BOX ,1.3504306220095694,0.0,2.95,15075,17564.97,408,1.19,1.33,1.5,1.34,0.8, Competitive — Monitor
84467,ENGLISH ROSE DESIGN QUILTED THROW,22.614666666666665,0.0,84.26,803,17397.76,90,20.87,22.46,25.94,23.09,-2.1, Competitive — Monitor
47590B,PINK HAPPY BIRTHDAY BUNTING,5.657539682539682,0.0,11.02,3378,17346.56,493,5.17,5.86,6.07,5.7,-0.7, Competitive — Monitor
22355,"CHARLOTTE BAG , SUKI DESIGN",1.0948804347826087,0.0,2.51,14521,17324.69,911,1.03,1.11,1.3,1.15,-4.8, Competitive — Monitor
21175,GIN + TONIC DIET METAL SIGN,2.373019911504425,0.0,4.3,7975,17307.11,886,2.13,2.44,2.63,2.4,-1.1, Competitive — Monitor
84836,ZINC METAL HEART DECORATION,1.3837486800422387,0.4,2.57,14240,17295.1,909,1.19,1.45,1.6,1.41,-1.9, Competitive — Monitor
48184,DOOR MAT ENGLISH ROSE ,7.816301075268817,0.0,14.43,2745,17241.28,462,7.2,8.27,8.23,7.9,-1.1, Competitive — Monitor
22384,LUNCHBAG PINK RETROSPOT,1.8517200365965232,0.0,5.06,10392,16872.82,1054,1.71,1.8,2.0,1.84,0.6, Competitive — Monitor
21166,COOK WITH WINE METAL SIGN ,2.1684656084656084,0.0,4.3,9723,16794.44,742,1.96,2.18,2.44,2.19,-1.0, Competitive — Monitor
21231,SWEETHEART CERAMIC TRINKET BOX,1.4515846994535517,0.0,2.57,13447,16788.75,1047,1.35,1.53,1.72,1.53,-5.1, Competitive — Monitor
48188,DOOR MAT WELCOME PUPPIES,8.234342723004694,0.0,16.98,2927,16621.97,424,7.41,8.88,9.3,8.53,-3.5, Competitive — Monitor
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2.9137500000000003,0.0,5.95,5934,16439.98,348,2.63,3.1,3.47,3.07,-5.1, Competitive — Monitor
21955,UNION JACK GUNS & ROSES  DOORMAT,8.286684587813621,0.0,16.98,2653,16243.87,547,7.4,8.12,9.3,8.27,0.2, Competitive — Monitor
22382,LUNCHBAG SPACEBOY DESIGN ,1.7655429650613785,0.0,5.06,9901,16199.13,1033,1.51,1.68,1.98,1.72,2.6, Competitive — Monitor
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.68811872909699,0.4,2.13,31822,16184.210000000001,1160,0.59,0.69,0.73,0.67,2.7, Competitive — Monitor
71459,HANGING JAM JAR T-LIGHT HOLDER,1.2270920840064619,0.0,6.91,19489,16182.22,608,1.05,1.27,1.44,1.25,-1.8, Competitive — Monitor
85152,HAND OVER THE CHOCOLATE   SIGN ,2.268491017964072,0.0,4.3,8031,16025.140000000001,820,2.07,2.27,2.47,2.27,-0.1, Competitive — Monitor
22866,HAND WARMER SCOTTY DOG DESIGN,2.3016220238095237,1.85,4.95,7116,15965.520000000002,615,2.03,2.3,2.73,2.35,-2.1, Competitive — Monitor
20712,JUMBO BAG WOODLAND ANIMALS,2.4427118644067796,0.0,5.06,7934,15916.32,580,2.2,2.57,2.9,2.56,-4.6, Competitive — Monitor
85066,CREAM SWEETHEART MINI CHEST,13.705127659574467,0.0,26.04,1289,15906.849999999999,459,12.89,13.4,16.33,14.21,-3.6, Competitive — Monitor
37449,CERAMIC CAKE STAND + HANGING CAKES,11.330820512820512,0.0,21.7,1627,15777.82,387,9.91,11.98,12.78,11.56,-2.0, Competitive — Monitor
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4.478861538461539,0.0,8.47,3944,15728.75,626,3.99,4.41,5.16,4.52,-0.9, Competitive — Monitor
21258,VICTORIAN SEWING BOX LARGE,16.686232558139533,0.0,26.04,1088,15654.24,424,15.44,16.23,19.47,17.05,-2.1, Competitive — Monitor
84406B,CREAM CUPID HEARTS COAT HANGER,3.4208059210526316,0.0,6.91,5173,15636.88,598,2.99,3.4,3.66,3.35,2.1, Competitive — Monitor
22865,HAND WARMER OWL DESIGN,2.3359513590844063,1.85,5.06,7009,15560.480000000001,640,2.0,2.43,2.66,2.36,-1.0, Competitive — Monitor
22752,SET 7 BABUSHKA NESTING BOXES,9.039292929292928,0.0,16.98,1889,15525.080000000002,384,7.95,8.5,9.54,8.66,4.4, Competitive — Monitor
22867,HAND WARMER BIRD DESIGN,2.341444099378882,1.85,5.06,6983,15401.430000000002,603,2.03,2.23,2.63,2.3,1.8, Competitive — Monitor
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,6.214093023255814,3.0,13.0,3499,15357.68,424,5.86,6.66,6.67,6.4,-2.9, Competitive — Monitor
22385,JUMBO BAG SPACEBOY DESIGN,2.17991568296796,1.3,5.06,8248,15157.21,586,2.03,2.07,2.35,2.15,1.4, Competitive — Monitor
20711,JUMBO BAG TOYS ,2.327686703096539,0.0,5.06,7821,15142.28,546,2.13,2.35,2.57,2.35,-0.9, Competitive — Monitor
22585,PACK OF 6 BIRDY GIFT TAGS,1.3241331658291458,0.0,2.95,11753,14955.62,736,1.24,1.34,1.48,1.35,-1.9, Competitive — Monitor
35004C,SET OF 3 COLOURED  FLYING DUCKS,7.738366197183099,1.0,13.0,2836,14895.43,351,7.2,7.73,8.85,7.93,-2.4, Competitive — Monitor
22077,6 RIBBONS RUSTIC CHARM,1.9875344036697247,0.0,4.21,8194,14859.72,848,1.73,2.03,2.11,1.96,1.4, Competitive — Monitor
20750, RED/WHITE DOT MINI CASES,8.133989266547406,6.09,17.35,2015,14823.039999999999,552,7.64,7.78,9.16,8.19,-0.7, Competitive — Monitor
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,0.909913043478261,0.55,5.17,23730,14586.300000000001,666,0.82,0.92,0.98,0.91,-0.0, Competitive — Monitor
82483,WOOD 2 DRAWER CABINET WHITE FINISH,6.054304733727811,4.95,13.0,2619,14509.87,661,5.64,5.93,6.88,6.15,-1.6, Competitive — Monitor
20972,PINK CREAM FELT CRAFT TRINKET BOX ,1.3916071428571428,0.19,2.57,11926,14469.14,823,1.31,1.43,1.59,1.44,-3.4, Competitive — Monitor
22149,FELTCRAFT 6 FLOWER FRIENDS,2.3439285714285716,1.66,5.06,6803,14395.28,884,2.07,2.21,2.66,2.31,1.5, Competitive — Monitor
84970S,HANGING HEART ZINC T-LIGHT HOLDER,1.0629860365198711,0.64,2.17,17839,14374.769999999999,916,0.92,1.08,1.23,1.08,-1.6, Competitive — Monitor
15036,ASSORTED COLOURS SILK FAN,0.9061290322580645,0.0,1.3,20004,14333.36,496,0.79,0.86,1.0,0.88,3.0, Competitive — Monitor
21080,SET/20 RED SPOTTY PAPER NAPKINS ,0.9736559139784945,0.64,2.51,17977,14293.39,1187,0.87,0.94,1.13,0.98,-0.6, Competitive — Monitor
22294,HEART FILIGREE DOVE  SMALL,1.45776,1.06,2.57,11520,14224.44,589,1.36,1.39,1.63,1.46,-0.2, Competitive — Monitor
22061,LARGE CAKE STAND  HANGING STRAWBERY,11.340323325635103,7.26,21.7,1507,14152.66,428,10.62,10.76,12.73,11.37,-0.3, Competitive — Monitor
21479,WHITE SKULL HOT WATER BOTTLE ,4.342280373831776,0.0,8.47,2854,13982.23,515,3.69,4.57,4.98,4.41,-1.5, Competitive — Monitor
47566B,TEA TIME PARTY BUNTING,4.9798823529411775,0.0,8.65,2625,13900.23,415,4.49,4.81,5.24,4.85,2.7, Competitive — Monitor
21930,JUMBO STORAGE BAG SKULLS,2.2242290076335878,1.3,5.06,7204,13887.16,645,1.98,2.38,2.55,2.3,-3.3, Competitive — Monitor
85232B,SET/3 RUSSIAN DOLL STACKING TINS,5.708362676056338,0.0,10.39,2574,13860.230000000001,561,4.98,6.14,6.52,5.88,-2.9, Competitive — Monitor
20971,PINK BLUE FELT CRAFT TRINKET BOX,1.400014684287812,1.06,2.95,10378,13855.050000000001,664,1.21,1.42,1.54,1.39,0.7, Competitive — Monitor
48129,DOOR MAT TOPIARY,7.879801699716714,0.0,14.43,2249,13780.300000000001,346,6.96,7.43,8.38,7.59,3.8, Competitive — Monitor
20724,RED SPOTTY CHARLOTTE BAG,1.054626168224299,0.0,2.51,14628,13736.32,1054,1.0,1.03,1.12,1.05,0.4, Competitive — Monitor
21481,FAWN BLUE HOT WATER BOTTLE,3.473082942097027,2.55,6.77,4530,13696.310000000001,624,3.06,3.64,4.13,3.61,-3.8, Competitive — Monitor
20748,KENSINGTON COFFEE SET,12.072792207792208,0.0,26.04,1427,13566.810000000001,154,10.89,11.82,13.92,12.21,-1.1, Competitive — Monitor
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,1.7592567567567565,1.25,3.83,9407,13541.769999999999,734,1.62,1.64,1.88,1.71,2.9, Competitive — Monitor
21314,SMALL GLASS HEART TRINKET POT,2.6837842465753425,0.0,6.95,7460,13432.42,575,2.38,2.71,2.96,2.68,0.1, Competitive — Monitor
22087,PAPER BUNTING WHITE LACE,3.4784574468085108,0.0,6.95,4304,13428.34,540,3.29,3.67,3.96,3.64,-4.4, Competitive — Monitor
22632,HAND WARMER RED POLKA DOT,2.1963209393346377,1.85,4.21,6709,13374.990000000002,478,2.08,2.3,2.58,2.32,-5.3, Competitive — Monitor
82600,NO SINGING METAL SIGN,2.3011671469740635,1.69,4.3,6889,13367.080000000002,684,2.01,2.18,2.43,2.21,4.1, Competitive — Monitor
35400,WOODEN BOX ADVENT CALENDAR ,10.237231759656654,0.0,17.35,1200,13310.1,457,9.21,10.52,11.11,10.28,-0.4, Competitive — Monitor
48173C,DOOR MAT BLACK FLOCK ,7.662317073170732,0.0,14.43,2305,13295.16,325,6.74,7.32,9.07,7.71,-0.6, Competitive — Monitor
21213,PACK OF 72 SKULL CAKE CASES,0.696987399770905,0.38,2.13,25516,13293.86,841,0.61,0.67,0.73,0.67,4.0, Competitive — Monitor
47590A,BLUE HAPPY BIRTHDAY BUNTING,5.684349206349207,3.2,11.26,2673,13283.580000000002,313,4.85,6.02,6.14,5.67,0.3, Competitive — Monitor
22837,HOT WATER BOTTLE BABUSHKA ,5.141538461538461,4.25,9.32,2841,13112.140000000001,340,4.68,4.94,6.14,5.25,-2.1, Competitive — Monitor
22444,GROW YOUR OWN PLANT IN A CAN ,1.5444680851063828,0.0,2.95,9499,13022.03,421,1.39,1.49,1.76,1.55,-0.4, Competitive — Monitor
22629,SPACEBOY LUNCH BOX ,2.1458095238095236,1.65,4.95,6946,12976.58,510,1.83,1.97,2.34,2.05,4.7, Competitive — Monitor
22556,PLASTERS IN TIN CIRCUS PARADE ,1.7637106017191977,1.45,4.21,7626,12536.569999999998,662,1.55,1.87,1.87,1.76,0.2, Competitive — Monitor
22381,TOY TIDY PINK RETROSPOT  ,2.508170731707317,1.49,5.06,6005,12530.53,644,2.36,2.63,2.64,2.54,-1.3, Competitive — Monitor
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,10.624022038567492,0.0,21.7,1255,12483.859999999999,353,9.28,10.84,11.55,10.56,0.6, Competitive — Monitor
22551,PLASTERS IN TIN SPACEBOY,1.7585470085470085,1.45,4.21,7439,12482.489999999998,677,1.52,1.83,2.08,1.81,-2.8, Competitive — Monitor
22605,WOODEN CROQUET GARDEN SET,13.606805555555555,0.0,25.49,1059,12394.26,359,12.23,12.85,15.14,13.41,1.5, Competitive — Monitor
22507,MEMO BOARD RETROSPOT  DESIGN,5.6321888412017165,3.86,11.02,2717,12349.06,464,5.34,5.59,6.52,5.82,-3.2, Competitive — Monitor
21791,VINTAGE HEADS AND TAILS CARD GAME ,1.4724935732647815,0.0,2.95,9659,12346.33,753,1.29,1.44,1.75,1.49,-1.2, Competitive — Monitor
22297,HEART IVORY TRELLIS SMALL,1.5856811145510834,1.06,2.57,9535,12251.69,622,1.45,1.48,1.76,1.56,1.6, Competitive — Monitor
22630,DOLLY GIRL LUNCH BOX,2.248022181146026,0.0,4.95,6571,12222.31,528,2.08,2.24,2.42,2.25,-0.1, Competitive — Monitor
22456,NATURAL SLATE CHALKBOARD LARGE ,5.812518891687658,0.0,11.95,2827,12154.81,395,5.08,6.2,6.55,5.94,-2.1, Competitive — Monitor
22492,MINI PAINT SET VINTAGE ,0.7526541554959786,0.55,1.66,18947,12053.12,371,0.69,0.7,0.89,0.76,-1.0, Competitive — Monitor
84978,HANGING HEART JAR T-LIGHT HOLDER,1.5255925432756325,0.0,2.95,8805,12046.16,729,1.35,1.47,1.79,1.54,-0.9, Competitive — Monitor
15044A,PINK PAPER PARASOL ,3.540671140939598,2.55,6.04,4504,11766.730000000001,149,3.23,3.37,3.75,3.45,2.6, Competitive — Monitor
21908,CHOCOLATE THIS WAY METAL SIGN,2.4040515653775323,1.49,4.3,6086,11765.090000000002,528,2.2,2.3,2.77,2.42,-0.7, Competitive — Monitor
48116,DOOR MAT MULTICOLOUR STRIPE,8.158980263157895,0.0,14.43,1955,11714.53,303,7.37,8.69,9.27,8.44,-3.3, Competitive — Monitor
79323W, WHITE CHERRY LIGHTS,6.821743697478992,0.0,13.87,1788,11681.62,473,5.86,6.79,8.09,6.91,-1.3, Competitive — Monitor
21164,HOME SWEET HOME METAL SIGN ,3.272934782608696,2.0,6.04,4274,11656.320000000002,456,3.06,3.26,3.5,3.27,0.1, Competitive — Monitor
22624,IVORY KITCHEN SCALES,9.140663082437275,0.0,16.98,1357,11622.960000000001,547,8.06,9.52,10.33,9.3,-1.7, Competitive — Monitor
47591D,PINK FAIRY CAKE CHILD'S APRON,2.0989566395663957,1.19,4.3,6299,11619.119999999999,725,1.82,1.98,2.48,2.09,0.4, Competitive — Monitor
