StockCode,Description,Avg_Price,Avg_Monthly_Qty,Elasticity,Elasticity_Category,Recommended_Price_Change
84684,BEACH HUT PHOTO FRAME,2.02,96.0,-2.851,Highly Elastic — Consider Discount,-5%
62096B,PURPLE/TURQ FLOWERS HANDBAG,1.52,19.0,-2.852,Highly Elastic — Consider Discount,-5%
17109D,FLOWER FAIRY INCENSE BOUQUET,1.36,100.0,-2.872,Highly Elastic — Consider Discount,-5%
85031A,ROMANTIC IMAGES SCRAP BOOK SET,3.86,34.0,-2.937,Highly Elastic — Consider Discount,-5%
21494,ROTATING LEAVES T-LIGHT HOLDER,1.83,128.0,-3.029,Highly Elastic — Consider Discount,-5%
85019A,ROMANTIC IMAGES NOTEBOOK SET,3.58,26.0,-3.04,Highly Elastic — Consider Discount,-5%
84725,FREESTYLE CANVAS ART PICTURE,3.32,13.0,-3.098,Highly Elastic — Consider Discount,-5%
62096A,PINK/YELLOW FLOWERS HANDBAG,1.5,20.0,-3.192,Highly Elastic — Consider Discount,-5%
84595E,LARGE TORTILLA DESIGN RED BOWL,3.02,26.0,-3.205,Highly Elastic — Consider Discount,-5%
72800C,4 PINK DINNER CANDLE SILVER FLOCK,2.17,52.0,-3.239,Highly Elastic — Consider Discount,-5%
85230E,STRAWBRY SCENTED VOTIVE CANDLE,0.28,110.0,-3.301,Highly Elastic — Consider Discount,-5%
85131D,BEADED CRYSTAL HEART PINK ON STICK,1.01,39.0,-3.46,Highly Elastic — Consider Discount,-5%
78124,MAGAZINE RACK GEBRA ASSORTED ,2.0,67.0,-3.509,Highly Elastic — Consider Discount,-5%
17091J,VANILLA INCENSE IN TIN,0.97,153.0,-3.55,Highly Elastic — Consider Discount,-5%
20763,DAISY SKETCHBOOK ,3.38,16.0,-3.749,Highly Elastic — Consider Discount,-5%
22312,OFFICE MUG WARMER POLKADOT,4.38,41.0,-3.878,Highly Elastic — Consider Discount,-5%
17091A,LAVENDER INCENSE IN TIN,1.01,147.0,-3.939,Highly Elastic — Consider Discount,-5%
37479B,CUBIC MUG FLOCK BLUE ON BROWN,1.93,159.0,-3.944,Highly Elastic — Consider Discount,-5%
21067,VINTAGE RED TEATIME MUG,1.11,360.0,-3.971,Highly Elastic — Consider Discount,-5%
22313,OFFICE MUG WARMER PINK,4.3,36.0,-4.041,Highly Elastic — Consider Discount,-5%
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,2.53,31.0,-4.131,Highly Elastic — Consider Discount,-5%
37482B,CUBIC MUG BLUE POLKA DOT,1.84,208.0,-4.163,Highly Elastic — Consider Discount,-5%
85221,ASSORTED COLOUR SILK COIN PURSE,0.91,592.0,-4.253,Highly Elastic — Consider Discount,-5%
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,2.28,32.0,-4.275,Highly Elastic — Consider Discount,-5%
17129F,BLUE GLASS GEMS IN BAG,0.72,51.0,-4.528,Highly Elastic — Consider Discount,-5%
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,2.49,67.0,-4.562,Highly Elastic — Consider Discount,-5%
72132,COLUMBIAN CUBE CANDLE,1.57,67.0,-4.791,Highly Elastic — Consider Discount,-5%
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,11.53,7.0,-4.864,Highly Elastic — Consider Discount,-5%
85131A,BEADED PEARL HEART WHITE ON STICK,1.12,87.0,-5.062,Highly Elastic — Consider Discount,-5%
22311,OFFICE MUG WARMER BLACK+SILVER ,4.35,69.0,-5.136,Highly Elastic — Consider Discount,-5%
85132B,CHARLIE AND LOLA TABLE TINS,8.52,38.0,-5.152,Highly Elastic — Consider Discount,-5%
21066,VINTAGE RED MUG,1.07,131.0,-5.194,Highly Elastic — Consider Discount,-5%
84595B,LARGE TRIFLE DESIGN L BLUE BOWL,3.15,33.0,-5.239,Highly Elastic — Consider Discount,-5%
84950,ASSORTED COLOUR T-LIGHT HOLDER,0.78,323.0,-5.254,Highly Elastic — Consider Discount,-5%
84467,ENGLISH ROSE DESIGN QUILTED THROW,35.01,44.0,-5.294,Highly Elastic — Consider Discount,-5%
85131C,BEADED CRYSTAL HEART BLUE ON STICK,1.07,39.0,-5.435,Highly Elastic — Consider Discount,-5%
85167B,BLACK GRAND BAROQUE PHOTO FRAME,3.67,51.0,-5.487,Highly Elastic — Consider Discount,-5%
72811,SMALL ZINC/GLASS CANDLEHOLDER,1.28,44.0,-5.532,Highly Elastic — Consider Discount,-5%
84816,DANISH ROSE BEDSIDE CABINET,38.52,3.0,-5.614,Highly Elastic — Consider Discount,-5%
84907,PINK YELLOW PATCH CUSHION COVER,6.43,51.0,-5.705,Highly Elastic — Consider Discount,-5%
20936,FORKED CACTUS CANDLE,2.76,22.0,-5.787,Highly Elastic — Consider Discount,-5%
84678,CLASSICAL ROSE SMALL VASE,2.37,35.0,-6.303,Highly Elastic — Consider Discount,-5%
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,3.38,59.0,-6.34,Highly Elastic — Consider Discount,-5%
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,2.19,68.0,-6.372,Highly Elastic — Consider Discount,-5%
51020A,SUMMER FUN DESIGN SHOWER CAP,1.04,75.0,-6.43,Highly Elastic — Consider Discount,-5%
82551,LAUNDRY 15C METAL SIGN,1.31,200.0,-6.475,Highly Elastic — Consider Discount,-5%
85028L,FRENCH CHATEAU LARGE FRUIT BOWL ,6.73,37.0,-6.501,Highly Elastic — Consider Discount,-5%
85132A,CHARLIE + LOLA BISCUITS TINS,8.69,57.0,-6.908,Highly Elastic — Consider Discount,-5%
20764,ABSTRACT CIRCLES SKETCHBOOK ,3.52,37.0,-6.945,Highly Elastic — Consider Discount,-5%
84925F,PSYCHEDELIC WALL THERMOMETER,2.21,70.0,-7.128,Highly Elastic — Consider Discount,-5%
35004G,SET OF 3 GOLD FLYING DUCKS,5.72,19.0,-7.321,Highly Elastic — Consider Discount,-5%
21847,GREEN  DIAMANTE PEN IN GIFT BOX,4.27,40.0,-7.458,Highly Elastic — Consider Discount,-5%
72801G,4 BURGUNDY WINE DINNER CANDLES,1.08,115.0,-7.503,Highly Elastic — Consider Discount,-5%
21033,JUMBO BAG CHARLIE AND LOLA TOYS,2.78,194.0,-7.68,Highly Elastic — Consider Discount,-5%
21160,KEEP OUT GIRLS DOOR HANGER ,1.33,85.0,-7.747,Highly Elastic — Consider Discount,-5%
37492B,BLUE YELLOW FLOWER PIGGY BANK,3.69,49.0,-7.862,Highly Elastic — Consider Discount,-5%
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,2.15,88.0,-7.913,Highly Elastic — Consider Discount,-5%
85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,3.37,70.0,-8.3,Highly Elastic — Consider Discount,-5%
51020B,STRIPY DESIGN SHOWER CAP,1.05,68.0,-8.334,Highly Elastic — Consider Discount,-5%
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,2.33,148.0,-8.475,Highly Elastic — Consider Discount,-5%
85166B,BLACK METAL BAROQUE PHOTO FRAME,3.37,46.0,-8.541,Highly Elastic — Consider Discount,-5%
85008,SET OF 3 CONEY ISLAND OVAL BOXES,4.78,19.0,-8.582,Highly Elastic — Consider Discount,-5%
37492C,GREEN BLUE FLOWER PIGGY BANK,3.96,40.0,-9.027,Highly Elastic — Consider Discount,-5%
20840,FRENCH FLORAL CUSHION COVER ,2.53,50.0,-9.246,Highly Elastic — Consider Discount,-5%
37327,ASSTD MULTICOLOUR CIRCLES MUG,1.54,24.0,-9.275,Highly Elastic — Consider Discount,-5%
21280,VINTAGE KITCHEN PRINT VEGETABLES,2.28,271.0,-9.296,Highly Elastic — Consider Discount,-5%
85164B,BLACK BAROQUE CUCKOO CLOCK,11.92,11.0,-9.476,Highly Elastic — Consider Discount,-5%
21088,SET/6 FRUIT SALAD PAPER CUPS,0.57,1866.0,-9.735,Highly Elastic — Consider Discount,-5%
22110,BIRD HOUSE HOT WATER BOTTLE,3.08,110.0,-9.748,Highly Elastic — Consider Discount,-5%
84682,CLASSICAL ROSE DISH,2.6,28.0,-9.773,Highly Elastic — Consider Discount,-5%
17181,CIRCLE OF FRIENDS CANDLE HOLDER,2.18,37.0,-9.836,Highly Elastic — Consider Discount,-5%
