StockCode,Description,Avg_Price,Total_Quantity,Total_Revenue,Transaction_Count,Competitor_A_Price,Competitor_B_Price,Competitor_C_Price,Market_Avg_Price,Price_vs_Market_Pct,Pricing_Flag,Elasticity,Elasticity_Category,Recommended_Price_Change,Final_Recommendation,Price_Change_Factor,Recommended_Price,Price_Difference,Pct_Price_Change,Estimated_Qty_Change_Pct,Estimated_New_Qty,Current_Revenue,Projected_Revenue,Revenue_Uplift
21928,JUMBO BAG SCANDINAVIAN PAISLEY,1.9145151515151515,13914,24277.3,644,1.69,1.93,2.14,1.92,-0.3, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.91,-0.0,0.0,-0.0,13914.0,26638.563818181818,26575.739999999998,-62.82
22111,SCOTTIE DOG HOT WATER BOTTLE,4.889709172259509,5228,24263.7,865,4.2,5.11,5.44,4.92,-0.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,4.89,0.0,0.0,-0.0,5228.0,25563.39955257271,25564.92,1.52
22112,CHOCOLATE HOT WATER BOTTLE,4.883818181818182,5166,23931.600000000002,801,4.49,4.51,5.66,4.89,-0.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,4.88,-0.0,0.0,-0.0,5166.0,25229.804727272727,25210.079999999998,-19.72
22083,PAPER CHAIN KIT RETRO SPOT,2.903678678678679,8809,23881.65,656,2.6,3.05,3.35,3.0,-3.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.9,-0.0,0.0,-0.0,8809.0,25578.505480480482,25546.1,-32.41
37503,TEA TIME CAKE STAND IN GIFT BOX,10.619339019189766,2388,23827.8,465,9.16,9.84,12.48,10.49,1.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,10.62,0.0,0.0,-0.0,2388.0,25358.98157782516,25360.559999999998,1.58
22470,HEART OF WICKER LARGE,2.934526315789474,8275,23636.730000000003,997,2.64,3.12,3.19,2.98,-1.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.93,-0.0,0.0,-0.0,8275.0,24283.2052631579,24245.75,-37.46
84078A,SET/4 WHITE RETRO STORAGE CUBES ,38.1921875,650,23252.500000000004,128,32.59,41.2,43.59,39.13,-2.4, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,38.19,-0.0,0.0,-0.0,650.0,24824.921875000004,24823.5,-1.42
82494L,WOODEN FRAME ANTIQUE WHITE ,2.8703109815354715,8425,23245.75,1009,2.7,2.78,3.27,2.92,-1.7, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.87,-0.0,0.0,-0.0,8425.0,24182.37001943635,24179.75,-2.62
22090,PAPER BUNTING RETRO SPOTS,2.915902777777778,8454,23161.300000000003,706,2.55,2.78,3.22,2.85,2.3, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.92,0.0,0.0,-0.0,8454.0,24651.042083333337,24685.68,34.64
21731,RED TOADSTOOL LED NIGHT LIGHT,1.6384751773049644,14996,23068.8,543,1.5,1.71,1.84,1.68,-2.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.64,0.0,0.0,-0.0,14996.0,24570.573758865245,24593.44,22.87
20727,LUNCH BAG  BLACK SKULL.,1.636106719367589,14529,22561.65,973,1.44,1.57,1.79,1.6,2.3, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.64,0.0,0.0,-0.0,14529.0,23770.994525691698,23827.559999999998,56.57
21523,FANCY FONT HOME SWEET HOME DOORMAT,7.115802707930367,3581,22534.65,514,6.42,7.53,7.62,7.19,-1.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.12,0.0,0.0,-0.0,3581.0,25481.689497098643,25496.72,15.03
22197,"POPCORN HOLDER , SMALL ",0.8373979591836734,28788,21875.26,759,0.76,0.78,0.91,0.82,2.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,0.84,0.0,0.0,-0.0,28788.0,24107.012448979593,24181.92,74.91
84029E,RED WOOLLY HOTTIE WHITE HEART.,3.645735900962861,6592,21830.56,711,3.17,3.43,3.89,3.5,4.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,3.65,0.0,0.0,-0.0,6592.0,24032.69105914718,24060.8,28.11
48187,DOOR MAT NEW ENGLAND,7.2505,3484,21796.5,635,6.87,7.81,8.36,7.68,-5.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.25,-0.0,0.0,-0.0,3484.0,25260.742,25259.0,-1.74
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2.9020259319286876,7861,21570.75,604,2.69,2.98,3.33,3.0,-3.3, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.9,-0.0,0.0,-0.0,7861.0,22812.825850891415,22796.899999999998,-15.93
21524,SPOTTY  HOME SWEET HOME DOORMAT,7.256237785016286,3468,21569.98,606,6.85,7.66,8.65,7.72,-6.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.26,0.0,0.0,-0.0,3468.0,25164.63263843648,25177.68,13.05
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3.9019675925925927,5589,20854.050000000003,841,3.67,3.79,4.52,3.99,-2.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,3.9,-0.0,0.0,-0.0,5589.0,21808.096875,21797.1,-11.0
21755,LOVE BUILDING BLOCK WORD,5.934954407294833,3546,20789.600000000002,949,5.4,6.1,6.28,5.93,0.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,5.93,-0.0,0.0,-0.0,3546.0,21045.34832826748,21027.78,-17.57
22328,"ROUND SNACK BOXES ,SET 4, FRUITS ",2.9156140350877195,7627,20609.65,550,2.75,2.96,3.45,3.05,-4.4, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.92,0.0,0.0,-0.0,7627.0,22237.388245614038,22270.84,33.45
82486,WOOD S/3 CABINET ANT WHITE FINISH,7.705072463768116,2702,20162.9,664,6.62,7.83,9.09,7.85,-1.8, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.71,0.0,0.0,-0.0,2702.0,20819.10579710145,20832.42,13.31
22138,BAKING SET 9 PIECE RETROSPOT ,4.916095661846496,4255,20147.510000000002,888,4.28,5.06,5.49,4.94,-0.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,4.92,0.0,0.0,-0.0,4255.0,20917.98704115684,20934.6,16.61
21527,RETRO SPOT TRADITIONAL TEAPOT ,7.837093206951027,2842,20144.940000000002,615,6.7,7.93,8.92,7.85,-0.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.84,0.0,0.0,-0.0,2842.0,22273.01889415482,22281.28,8.26
22188,BLACK HEART CARD HOLDER,3.8451928783382794,7538,20117.64,336,3.39,3.8,4.6,3.93,-2.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,3.85,0.0,0.0,-0.0,7538.0,28985.06391691395,29021.3,36.24
20679,EDWARDIAN PARASOL RED,5.733243243243244,4504,20084.8,368,5.1,5.53,6.48,5.7,0.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,5.73,-0.0,0.0,-0.0,4504.0,25822.527567567573,25807.920000000002,-14.61
22383,LUNCHBAG SUKI  DESIGN ,1.6421337266470009,12540,19909.0,986,1.44,1.71,1.95,1.7,-3.4, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.64,-0.0,0.0,-0.0,12540.0,20592.35693215339,20565.6,-26.76
20728,LUNCH BAG CARS BLUE,1.6410171428571427,12755,19805.75,852,1.53,1.57,1.74,1.61,1.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.64,-0.0,0.0,-0.0,12755.0,20931.173657142856,20918.199999999997,-12.97
21485,RED SPOT HEART HOT WATER BOTTLE,4.8922018348623855,4227,19687.45,739,4.33,5.04,5.28,4.88,0.3, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,4.89,-0.0,0.0,-0.0,4227.0,20679.337155963305,20670.03,-9.31
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,3.7351644736842107,5463,19655.37,587,3.28,3.58,4.17,3.68,1.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,3.74,0.0,0.0,-0.0,5463.0,20405.203519736842,20431.620000000003,26.42
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,5.890537848605578,4209,19207.95,501,5.33,6.01,6.7,6.01,-2.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,5.89,-0.0,0.0,-0.0,4209.0,24793.273804780878,24791.01,-2.26
22326,"ROUND SNACK BOXES ,SET4, WOODLAND ",2.9302721088435373,6821,18902.75,571,2.53,3.05,3.44,3.01,-2.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.93,-0.0,0.0,-0.0,6821.0,19987.386054421768,19985.530000000002,-1.86
20726,LUNCH BAG WOODLAND,1.642892156862745,12000,18796.0,789,1.53,1.57,1.97,1.69,-2.8, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.64,-0.0,0.0,-0.0,12000.0,19714.70588235294,19680.0,-34.71
72741,GRAND CHOCOLATECANDLE,1.42,13926,18723.899999999998,594,1.22,1.32,1.57,1.37,3.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.42,0.0,0.0,-0.0,13926.0,19774.92,19774.92,0.0
84946,ANTIQUE SILVER TEA GLASS ETCHED,1.228557142857143,16008,18555.36,674,1.17,1.16,1.3,1.21,1.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.23,0.0,0.0,-0.0,16008.0,19666.742742857143,19689.84,23.1
48185,DOOR MAT FAIRY CAKE,7.25588693957115,3001,18513.19,506,6.73,7.38,8.49,7.53,-3.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.26,0.0,0.0,-0.0,3001.0,21774.91670565302,21787.26,12.34
21915,RED  HARMONICA IN BOX ,1.236619718309859,16122,18145.72,345,1.08,1.31,1.41,1.27,-2.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.24,0.0,0.0,-0.0,16122.0,19936.783098591546,19991.28,54.5
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,3.7358906249999997,4999,18113.07,624,3.18,3.46,4.03,3.56,4.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,3.74,0.0,0.0,-0.0,4999.0,18675.717234375,18696.260000000002,20.54
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3.7380661157024795,4904,17728.68,588,3.48,3.88,4.2,3.85,-2.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,3.74,0.0,0.0,-0.0,4904.0,18331.47623140496,18340.960000000003,9.48
82482,WOODEN PICTURE FRAME WHITE FINISH,2.459892729439809,7643,17677.95,818,2.26,2.4,2.86,2.51,-2.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.46,0.0,0.0,-0.0,7643.0,18800.96013110846,18801.78,0.82
22178,VICTORIAN GLASS HANGING T-LIGHT,1.237260677466863,15418,17664.4,639,1.14,1.23,1.44,1.27,-2.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.24,0.0,0.0,-0.0,15418.0,19076.085125184094,19118.32,42.23
84991,60 TEATIME FAIRY CAKE CASES,0.5405887300252313,35806,17503.2,1136,0.5,0.58,0.61,0.56,-3.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,0.54,-0.0,0.0,-0.0,35806.0,19356.320067283432,19335.24,-21.08
79323W, WHITE CHERRY LIGHTS,6.398089171974522,2948,17384.8,313,5.49,6.23,7.01,6.24,2.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,6.4,0.0,0.0,-0.0,2948.0,18861.56687898089,18867.2,5.63
47590B,PINK HAPPY BIRTHDAY BUNTING,5.413040685224839,3404,17105.800000000003,457,4.8,5.38,6.47,5.55,-2.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,5.41,-0.0,0.0,-0.0,3404.0,18425.990492505352,18415.64,-10.35
21166,COOK WITH WINE METAL SIGN ,1.9196803652968037,9624,17072.16,643,1.65,1.77,2.21,1.88,2.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.92,0.0,0.0,-0.0,9624.0,18475.00383561644,18478.079999999998,3.08
48111,DOOR MAT 3 SMILEY CATS,7.123535108958838,2999,17013.89,408,6.67,6.65,7.92,7.08,0.6, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.12,-0.0,0.0,-0.0,2999.0,21363.481791767554,21352.88,-10.6
22457,NATURAL SLATE HEART CHALKBOARD ,2.9345021037868166,6028,16958.4,700,2.68,2.82,3.2,2.9,1.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.93,-0.0,0.0,-0.0,6028.0,17689.17868162693,17662.04,-27.14
21622,VINTAGE UNION JACK CUSHION COVER,4.951129707112971,3199,16938.17,463,4.37,4.58,5.74,4.9,1.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,4.95,-0.0,0.0,-0.0,3199.0,15838.663933054393,15835.050000000001,-3.61
22469,HEART OF WICKER SMALL,1.637210065645514,10407,16792.309999999998,874,1.4,1.67,1.78,1.62,1.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.64,0.0,0.0,-0.0,10407.0,17038.445153172863,17067.48,29.03
20713,JUMBO BAG OWLS,1.9264925373134327,9366,16745.7,528,1.7,1.9,2.07,1.89,1.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.93,0.0,0.0,-0.0,9366.0,18043.52910447761,18076.38,32.85
84836,ZINC METAL HEART DECORATION,1.2460895883777239,13958,16706.5,790,1.1,1.26,1.41,1.26,-1.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.25,0.0,0.0,-0.0,13958.0,17392.91847457627,17447.5,54.58
22622,BOX OF VINTAGE ALPHABET BLOCKS,9.83036303630363,1824,16695.899999999998,298,9.07,9.32,10.75,9.71,1.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,9.83,-0.0,0.0,-0.0,1824.0,17930.58217821782,17929.920000000002,-0.66
21217,RED SPOTTY ROUND CAKE TINS,9.851303538175046,1752,16691.399999999998,530,9.0,9.53,11.27,9.93,-0.8, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,9.85,-0.0,0.0,-0.0,1752.0,17259.48379888268,17257.2,-2.28
48184,DOOR MAT ENGLISH ROSE ,7.24909756097561,2677,16521.51,407,6.8,7.44,7.74,7.33,-1.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.25,0.0,0.0,-0.0,2677.0,19405.83417073171,19408.25,2.42
22379,RECYCLING BAG RETROSPOT ,2.0732018927444797,8419,16434.65,619,1.86,2.23,2.38,2.16,-4.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.07,-0.0,0.0,-0.0,8419.0,17454.286735015776,17427.329999999998,-26.96
21175,GIN + TONIC DIET METAL SIGN,2.07813315926893,8439,16384.4,748,1.79,1.93,2.27,2.0,3.9, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.08,0.0,0.0,-0.0,8439.0,17537.3657310705,17553.12,15.75
22384,LUNCHBAG PINK RETROSPOT,1.6441347150259067,10240,16332.0,928,1.51,1.75,1.73,1.66,-1.0, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.64,-0.0,0.0,-0.0,10240.0,16835.939481865284,16793.6,-42.34
22158,3 HEARTS HANGING DECORATION RUSTIC,2.939041095890411,5544,15607.6,419,2.72,2.98,3.14,2.95,-0.4, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.94,0.0,0.0,-0.0,5544.0,16294.04383561644,16299.36,5.32
22382,LUNCHBAG SPACEBOY DESIGN ,1.6370552147239263,9767,15604.75,954,1.48,1.65,1.95,1.69,-3.1, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.64,0.0,0.0,-0.0,9767.0,15989.118282208588,16017.88,28.76
48188,DOOR MAT WELCOME PUPPIES,7.236039886039886,2749,15599.75,349,6.71,7.24,8.54,7.5,-3.5, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,7.24,0.0,0.0,-0.0,2749.0,19891.873646723645,19902.760000000002,10.89
85152,HAND OVER THE CHOCOLATE   SIGN ,2.0650335570469798,8240,15598.94,730,1.86,1.92,2.24,2.01,2.7, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,2.07,0.0,0.0,-0.0,8240.0,17015.87651006711,17056.8,40.92
20972,PINK CREAM FELT CRAFT TRINKET BOX ,1.2430095759233926,13170,15460.28,714,1.12,1.16,1.45,1.24,0.2, Competitive — Monitor,-1.0,,,MONITOR — No Clear Signal,0.0,1.24,-0.0,0.0,-0.0,13170.0,16370.436114911081,16330.8,-39.64
